id,fam,p1,p2
UENF1,42x495,42,495
UENF2,167(J)x82(J),167(J),82(J)
UENF3,323x441,323,441
UENF4,323x441,323,441
UENF5,95x281,95,281
UENF6,Hibrido(H5-14)339x167(J),Hibrido(H5-14)339,167(J)
UENF7,565x572,565,572
UENF8,138x42,138,42
UENF9,231(J)x572,231(J),572
UENF10,231(J)x572,231(J),572
UENF11,34(J)x24(J),34(J),24(J)
UENF12,34(J)x24(J),34(J),24(J)
UENF13,376x156,376,156
UENF14,167(J)x495,167(J),495
UENF15,231(J)x583,231(J),583
UENF16,156x95,156,95
UENF17,156x281,156,281
UENF18,138x95,138,95
UENF19,565x281,565,281
UENF20,62(J)x572,62(J),572
UENF21,551x42,551,42
UENF22,551x495,551,495
UENF23,551x495,551,495
UENF24,551x281,551,281
UENF25,441x572,441,572
UENF26,167(J)x572,167(J),572
UENF29,551x572,551,572
UENF30,24(J)x167(J),24(J),167(J)
UENF32,231(J)x495,231(J),495
UENF33,572x82(J),572,82(J)
UENF34,95x42,95,42
UENF35,95x42,95,42
UENF36,325x495,325,495
UENF37,323x95,323,95
UENF38,96-Setaceax96-Setacea,96-Setacea,96-Setacea
UENF39,34(J)x95,34(J),95
UENF40,627x583,627,583
UENF41,82(J)x495,82(J),495
UENF42,162x95,162,95
UENF43,62(J)x167(J),62(J),167(J)
UENF44,166x42,166,42
UENF45,551x42,551,42
UENF46,551x583,551,583
UENF47,162x441,162,441
UENF48,231(J)x95,231(J),95
UENF49,42x495,42,495
UENF50,103x441,103,441
UENF51,103x441,103,441
UENF52,551x74,551,74
UENF53,376x156,376,156
UENF54,627x281,627,281
UENF55,156x281,156,281
UENF56,156x281,156,281
UENF57,332x95,332,95
UENF58,565x572,565,572
UENF59,565x572,565,572
UENF60,62(J)x572,62(J),572
UENF61,62(J)x572,62(J),572
UENF62,95x281,95,281
UENF63,95x281,95,281
UENF64,167(J)x572,167(J),572
UENF65,167(J)x572,167(J),572
UENF66,551x441,551,441
UENF67,551x441,551,441
UENF68,551x441,551,441
UENF69,441x572,441,572
UENF70,138x82(J),138,82(J)
UENF71,138x82(J),138,82(J)
UENF72,377x495,377,495
UENF73,Hibrido(H1-15)planta7x95,Hibrido(H1-15)planta7,95
UENF74,572x24(J),572,24(J)
UENF75,551x167(J),551,167(J)
UENF76,551x281,551,281
UENF77,167(J)x583,167(J),583
UENF78,34(J)x24(J),34(J),24(J)
UENF79,34(J)x24(J),34(J),24(J)
UENF80,323x95,323,95
UENF81,556x24(J),556,24(J)
UENF82,551x495,551,495
UENF83,238x495,238,495
UENF84,89x281,89,281
UENF86,34(J)x82(J),34(J),82(J)
UENF87,231(J)x495,231(J),495
UENF88,231(J)x495,231(J),495
UENF89,138x593,138,593
UENF90,551x572,551,572
UENF91,231(J)x583,231(J),583
UENF92,231(J)x583,231(J),583
UENF93,627x583,627,583
UENF96,583x441,583,441
UENF97,583x441,583,441
UENF98,167(J)x95,167(J),95
UENF99,167(J)x95,167(J),95
UENF100,166x42,166,42
UENF101,495x95,495,95
UENF102,495x95,495,95
UENF103,138x95,138,95
UENF104,138x95,138,95
UENF105,82(J)x495,82(J),495
UENF106,551x74,551,74
UENF107,556x167(J),556,167(J)
UENF108,565x281,565,281
UENF109,156x42,156,42
UENF110,231(J)x583,231(J),583
UENF111,231(J)x583,231(J),583
UENF112,551x42,551,42
UENF113,138x42,138,42
UENF114,138x42,138,42
UENF115,441x42,441,42
UENF116,167(J)x95,167(J),95
UENF117,167(J)x95,167(J),95
UENF118,495x281,495,281
UENF119,572x82(J),572,82(J)
UENF120,156x24(J),156,24(J)
UENF121,323x441,323,441
UENF122,551x167(J),551,167(J)
UENF123,95x281,95,281
UENF124,95x281,95,281
UENF125,167(J)x583,167(J),583
UENF126,42x82(J),42,82(J)
UENF127,62(J)x167(J),62(J),167(J)
UENF128,441x572,441,572
UENF129,441x572,441,572
UENF130,138x593,138,593
UENF131,Hibrido(H5-14)507x495,Hibrido(H5-14)507,495
UENF132,Hibrido(H5-14)507x495,Hibrido(H5-14)507,495
UENF133,Hibrido(H5-14)507x495,Hibrido(H5-14)507,495
UENF134,583x441,583,441
UENF135,238x95,238,95
UENF136,627x583,627,583
UENF137,551x281,551,281
UENF138,377x495,377,495
UENF139,34(J)x24(J),34(J),24(J)
UENF140,74x156,74,156
UENF141,323x95,323,95
UENF142,34(J)x82(J),34(J),82(J)
UENF143,238x495,238,495
UENF144,42x571,42,571
UENF146,231(J)x281,231(J),281
UENF147,231(J)x281,231(J),281
UENF149,95x571,95,571
UENF150,166x95,166,95
UENF151,74x95,74,95
UENF152,156x281,156,281
UENF153,231(J)x95,231(J),95
UENF154,138x571,138,571
UENF156,24(J)x42,24(J),42
UENF157,231(J)x495,231(J),495
UENF158,572x24(J),572,24(J)
UENF159,166x42,166,42
