id,PROD,AACPDM,NF,MF,CF,DF,MP,EC,SS,RP
UENF1,2059.14,1485,14,124.9,72.92,65.24,55.54,5.93,9.5,44
UENF2,4531.74,1121.25,43,71.29,73.3,56.35,14.74,5.27,11,20
UENF3,3763.82,1470,20,213.86,92.69,77.41,73.66,7.27,9.4,35
UENF4,4475.19,1440,28,144.8,85.67,69.79,56.44,7.47,8.83,38
UENF5,5411.97,1335,52,120.7,87.95,70.78,46.61,5.88,10.4,38
UENF6,880.98,1035,15,75.52,63.83,59.01,27.58,4.69,10.92,36
UENF7,4006.34,926.25,27,169.64,76.15,72.09,83.87,4.11,13.4,50
UENF8,0,1320,0,NA,NA,NA,NA,NA,NA,NA
UENF9,0,960,0,NA,NA,NA,NA,NA,NA,NA
UENF10,563.33,881.25,4,67.93,69.98,49.88,27.63,4.49,12,40
UENF11,336.96,885,3,109.73,82.8,64.79,29.98,5.08,11.17,26
UENF12,561.97,971.25,7,82.84,77.92,64.03,20.97,4.06,9.9,26
UENF13,3104.32,948.75,23,132.08,73.11,65.52,54.7,5.7,9,39
UENF14,6294.87,1121.25,42,206.96,93.31,76.16,100.68,6.05,10.21,49
UENF15,2310.01,855,26,100.7,73.61,60.52,40.15,5.72,11.95,39
UENF16,10511.92,907.5,83,134.7,70.96,71.94,53.49,4.94,7.56,40
UENF17,2341.26,1342.5,17,145.33,72.44,70.4,58.98,6.22,9.5,41
UENF18,2929.89,971.25,45,76.14,67.13,61.21,33.09,4.35,9.4,43
UENF19,3028.57,791.25,33,133.3,79.55,67.56,43.08,6.18,9,32
UENF20,4652.34,971.25,57,83.13,76,62.74,36.28,3.54,11.56,44
UENF21,19908.56,971.25,148,151.22,82.56,68.79,82.02,3.96,11,54
UENF22,7304.01,1140,80,96.12,68.48,61.82,45.58,4.37,12.48,47
UENF23,1273.72,978.75,11,166.21,70.26,74.51,82.17,5.52,9.6,49
UENF24,4286.31,1440,28,167.71,80.96,68.67,86.74,5.69,10.7,52
UENF25,4927.48,1080,24,176.06,83.58,72.8,81.69,6.59,11.8,46
UENF26,4841.67,1462.5,34,162.69,92.65,73.55,74.27,4.79,11.96,46
UENF29,6937.22,982.5,65,140.38,79.62,68.3,76.61,4.22,10.17,55
UENF30,13900.12,873.75,205,153.36,92.37,71.14,51.37,4.94,10.84,32
UENF32,4514.45,836.25,43,169.68,84.52,71.85,60.46,9.93,12.17,36
UENF33,152.66,1080,2,83.5,76.92,57.05,36.75,3.13,16,44
UENF34,3102.56,1402.5,39,84.34,68.82,64.19,40.95,4.2,10.5,49
UENF35,5679.7,911.25,71,136.72,77.79,69.71,63.42,5.35,9.55,46
UENF36,4954.74,1305,41,150.6,76.29,68.91,64.16,6.3,8.33,43
UENF37,8372.58,813.75,70,154.92,82.29,73.85,60.28,5.51,11.44,39
UENF38,2916.6,435,51,62.67,56.65,48.85,34.56,2.72,12.8,55
UENF39,4906.55,817.5,67,103.05,71.88,61.68,47.57,4.95,9.89,46
UENF40,3494.09,847.5,48,78.78,68.75,51.67,25.86,6.77,11.89,33
UENF41,8108.99,1121.25,83,93.25,74.63,61.42,34.95,6.09,11.21,37
UENF42,7889,1432.5,70,135.78,82.53,70.61,60.27,5.39,12.86,44
UENF43,430.28,922.5,3,143.15,79.56,69.48,54.72,5.4,11.67,38
UENF44,946.48,967.5,10,120.06,76.28,68.68,54.81,4.12,9.34,46
UENF45,2290.63,791.25,26,115.28,77.11,65.25,59.06,4.47,9.5,51
UENF46,3107.66,1440,27,183.95,88.96,76.61,81.2,5.73,11.4,44
UENF47,3086.5,1522.5,20,168.07,85.93,78.03,53.99,5.68,10.4,32
UENF48,1223.95,937.5,14,98.19,75.9,62.58,48.53,4.36,10.64,49
UENF49,7160.24,888.75,53,162.35,90.57,73.09,61.54,4.81,12,38
UENF50,1688.85,952.5,16,111.09,77.06,66.58,49.82,3.21,11.3,45
UENF51,3084.25,1038.75,35,110.09,74.06,67.53,43.85,5.02,10.4,40
UENF52,2496.6,832.5,24,162.93,91.73,72.92,62.2,5.16,8.29,38
UENF53,438.17,967.5,4,116.32,76.43,71.68,34.35,7.74,12,30
UENF54,3278.97,1455,35,135.69,81.39,69.45,63.48,5.46,9.62,47
UENF55,4033.07,1008.75,26,177.67,89.7,80.65,66.94,4.89,10.8,38
UENF56,5019.71,952.5,36,165.89,85.38,72.85,73.2,5.79,10.84,44
UENF57,1587.41,1432.5,16,92.5,72.81,59.97,42.49,6.35,5.5,46
UENF58,5126.59,1327.5,38,195.88,88.16,75.05,104.81,4.94,9.53,54
UENF59,839.71,930,10,100.78,80.84,70,60.44,5.22,10.9,60
UENF60,1232.3,1582.5,8,143.14,75.63,69.05,69.33,4.73,12.38,48
UENF61,4111.2,1432.5,30,132.65,74.72,61.4,77.89,4.44,11.5,59
UENF62,3026.05,1530,24,172.21,86.45,70.69,72.8,7.9,9.49,42
